original_filename,new_filename,watermark_path,clean_path
photo-1638991420219-9829d4e7d134.jpg,image_0001.jpg,train/watermark/image_0001.jpg,train/no-watermark/image_0001.jpg
photo-1633354579313-7cbd8bba2641.jpg,image_0002.jpg,train/watermark/image_0002.jpg,train/no-watermark/image_0002.jpg
photo-1602485467114-f85820ce228f.jpg,image_0003.jpg,train/watermark/image_0003.jpg,train/no-watermark/image_0003.jpg
photo-1638989944427-6362efa3fc1a.jpg,image_0004.jpg,train/watermark/image_0004.jpg,train/no-watermark/image_0004.jpg
photo-1621609764095-b32bbe35cf3a.jpg,image_0005.jpg,train/watermark/image_0005.jpg,train/no-watermark/image_0005.jpg
photo-1552205526-7ad7c9aa94c7.jpg,image_0006.jpg,train/watermark/image_0006.jpg,train/no-watermark/image_0006.jpg
photo-1635286721033-e11cf9e632c4.jpg,image_0007.jpg,train/watermark/image_0007.jpg,train/no-watermark/image_0007.jpg
photo-1636027572844-0ef78ee54c6d.jpg,image_0008.jpg,train/watermark/image_0008.jpg,train/no-watermark/image_0008.jpg
photo-1628182488460-0d244f7440f2.jpg,image_0009.jpg,train/watermark/image_0009.jpg,train/no-watermark/image_0009.jpg
photo-1637754614390-11539bca3578.jpg,image_0010.jpg,train/watermark/image_0010.jpg,train/no-watermark/image_0010.jpg
photo-1635870224299-51d078291d54.jpg,image_0011.jpg,train/watermark/image_0011.jpg,train/no-watermark/image_0011.jpg
photo-1637406301895-1ca32a5d0a16.jpg,image_0012.jpg,train/watermark/image_0012.jpg,train/no-watermark/image_0012.jpg
photo-1635461742809-95b4f1365a7d.jpg,image_0013.jpg,train/watermark/image_0013.jpg,train/no-watermark/image_0013.jpg
photo-1638975928080-2a128460e7b1.jpg,image_0014.jpg,train/watermark/image_0014.jpg,train/no-watermark/image_0014.jpg
photo-1599420186946-7b6fb4e297f0.jpg,image_0015.jpg,train/watermark/image_0015.jpg,train/no-watermark/image_0015.jpg
photo-1636124462545-a03553f4a4d8.jpg,image_0016.jpg,train/watermark/image_0016.jpg,train/no-watermark/image_0016.jpg
photo-1636192677130-83a4cbd0f7d3.jpg,image_0017.jpg,train/watermark/image_0017.jpg,train/no-watermark/image_0017.jpg
photo-1593642702909-dec73df255d7.jpg,image_0018.jpg,train/watermark/image_0018.jpg,train/no-watermark/image_0018.jpg
photo-1638087857333-08ea9b5c30c0.jpg,image_0019.jpg,train/watermark/image_0019.jpg,train/no-watermark/image_0019.jpg
photo-1633113090286-3318ea2d24ae.jpg,image_0020.jpg,train/watermark/image_0020.jpg,train/no-watermark/image_0020.jpg
photo-1604900881431-781565ae8d91.jpg,image_0021.jpg,train/watermark/image_0021.jpg,train/no-watermark/image_0021.jpg
photo-1637677121980-6f39c0b61500.jpg,image_0022.jpg,train/watermark/image_0022.jpg,train/no-watermark/image_0022.jpg
photo-1638037143715-eac0b33d1003.jpg,image_0023.jpg,train/watermark/image_0023.jpg,train/no-watermark/image_0023.jpg
